continentName,ghgYear,co2concentration
Latin America and the Caribbean                   ,2013Q2,         7457.49
Latin America and the Caribbean                   ,2013Q3,         7614.96
Latin America and the Caribbean                   ,2013Q4,         7111.72
Latin America and the Caribbean                   ,2014Q1,         7238.14
Latin America and the Caribbean                   ,2014Q2,         7495.15
Latin America and the Caribbean                   ,2014Q3,         7569.21
Latin America and the Caribbean                   ,2014Q4,         7257.87
Latin America and the Caribbean                   ,2015Q1,         7325.21
Latin America and the Caribbean                   ,2015Q2,         7430.55
Latin America and the Caribbean                   ,2015Q3,         7421.18
Latin America and the Caribbean                   ,2015Q4,         7232.17
Latin America and the Caribbean                   ,2016Q1,         7178.44
Latin America and the Caribbean                   ,2016Q2,         7596.97
Latin America and the Caribbean                   ,2016Q3,          7433.1
Latin America and the Caribbean                   ,2016Q4,          7022.5
Latin America and the Caribbean                   ,2017Q1,          7391.1
Latin America and the Caribbean                   ,2017Q2,         7499.37
Latin America and the Caribbean                   ,2017Q3,         7518.81
Latin America and the Caribbean                   ,2017Q4,         6881.78
Latin America and the Caribbean                   ,2018Q1,         7118.46
Latin America and the Caribbean                   ,2018Q2,         7344.06
Latin America and the Caribbean                   ,2018Q3,         7339.26
Latin America and the Caribbean                   ,2018Q4,         6953.39
Latin America and the Caribbean                   ,2019Q1,            7241
Latin America and the Caribbean                   ,2019Q2,         7235.49
Latin America and the Caribbean                   ,2019Q3,         7607.37
Latin America and the Caribbean                   ,2019Q4,         6669.34
Oceania                                           ,2021Q2,         1309.57
Oceania                                           ,2021Q3,         1248.78
Oceania                                           ,2021Q4,         1286.25
Oceania                                           ,2022Q1,          1273.4
Oceania                                           ,2022Q2,          1300.4
Oceania                                           ,2022Q3,         1310.15
Oceania                                           ,2022Q4,         1305.56
Oceania                                           ,2023Q1,         1318.65
Oceania                                           ,2023Q2,         1321.17
Other Oceania sub-regions                         ,2010Q1,           37.48
Other Oceania sub-regions                         ,2010Q2,           35.39
Other Oceania sub-regions                         ,2010Q3,           48.86
Other Oceania sub-regions                         ,2010Q4,           39.17
Other Oceania sub-regions                         ,2011Q1,           38.13
Other Oceania sub-regions                         ,2011Q2,           35.02
Other Oceania sub-regions                         ,2011Q3,           50.42
Other Oceania sub-regions                         ,2011Q4,           38.23
Other Oceania sub-regions                         ,2012Q1,           33.78
Other Oceania sub-regions                         ,2012Q2,           44.63
Other Oceania sub-regions                         ,2012Q3,           50.54
Other Oceania sub-regions                         ,2012Q4,           40.82
Other Oceania sub-regions                         ,2013Q1,           33.17
Other Oceania sub-regions                         ,2013Q2,           35.61
Other Oceania sub-regions                         ,2013Q3,           50.52
Other Oceania sub-regions                         ,2013Q4,            44.3
Other Oceania sub-regions                         ,2014Q1,           46.68
Other Oceania sub-regions                         ,2014Q2,           45.38
Other Oceania sub-regions                         ,2014Q3,           52.42
Other Oceania sub-regions                         ,2014Q4,           38.14
Other Oceania sub-regions                         ,2015Q1,            42.6
Other Oceania sub-regions                         ,2015Q2,           43.49
Other Oceania sub-regions                         ,2015Q3,           57.26
Other Oceania sub-regions                         ,2015Q4,           49.45
Other Oceania sub-regions                         ,2016Q1,           43.82
Other Oceania sub-regions                         ,2016Q2,           48.86
Other Oceania sub-regions                         ,2016Q3,           55.05
Other Oceania sub-regions                         ,2016Q4,           53.68
Other Oceania sub-regions                         ,2017Q1,           52.03
Other Oceania sub-regions                         ,2017Q2,           52.04
Other Oceania sub-regions                         ,2017Q3,           52.59
Other Oceania sub-regions                         ,2017Q4,           45.34
Other Oceania sub-regions                         ,2018Q1,           47.86
Other Oceania sub-regions                         ,2018Q2,            53.4
Other Oceania sub-regions                         ,2018Q3,           65.53
Other Oceania sub-regions                         ,2018Q4,           48.34
Other Oceania sub-regions                         ,2019Q1,           46.81
Other Oceania sub-regions                         ,2019Q2,           49.81
Other Oceania sub-regions                         ,2019Q3,           69.19
Other Oceania sub-regions                         ,2019Q4,           56.45
Other Oceania sub-regions                         ,2020Q1,           37.71
Other Oceania sub-regions                         ,2020Q2,           37.65
Other Oceania sub-regions                         ,2020Q3,            51.5
Other Oceania sub-regions                         ,2020Q4,           48.44
Other Oceania sub-regions                         ,2021Q1,           45.64
Other Oceania sub-regions                         ,2021Q2,              55
Other Oceania sub-regions                         ,2021Q3,           44.46
Other Oceania sub-regions                         ,2021Q4,           35.35
Other Oceania sub-regions                         ,2022Q1,           47.05
Other Oceania sub-regions                         ,2022Q2,           45.52
Other Oceania sub-regions                         ,2022Q3,           46.34
Other Oceania sub-regions                         ,2022Q4,           42.91
Other Oceania sub-regions                         ,2023Q1,           45.87
Other Oceania sub-regions                         ,2023Q2,           45.22
South-eastern Asia                                ,2010Q1,         4396.27
South-eastern Asia                                ,2010Q2,         4532.81
South-eastern Asia                                ,2010Q3,         4633.66
South-eastern Asia                                ,2010Q4,         4822.07
South-eastern Asia                                ,2011Q1,          4911.8
South-eastern Asia                                ,2011Q2,         4744.55
South-eastern Asia                                ,2011Q3,         4765.79
South-eastern Asia                                ,2011Q4,         4872.18
South-eastern Asia                                ,2012Q1,         4985.44
South-eastern Asia                                ,2012Q2,          4882.4
South-eastern Asia                                ,2012Q3,          4861.6
South-eastern Asia                                ,2012Q4,         4976.08
South-eastern Asia                                ,2013Q1,         4915.27
South-eastern Asia                                ,2013Q2,         4791.89
South-eastern Asia                                ,2013Q3,         4840.46
South-eastern Asia                                ,2013Q4,         5309.18
South-eastern Asia                                ,2014Q1,         5059.58
South-eastern Asia                                ,2014Q2,         5075.63
South-eastern Asia                                ,2014Q3,          5128.7
South-eastern Asia                                ,2014Q4,         5297.94
South-eastern Asia                                ,2015Q1,         5332.74
South-eastern Asia                                ,2015Q2,          5127.3
South-eastern Asia                                ,2015Q3,         5158.34
South-eastern Asia                                ,2015Q4,          5336.9
South-eastern Asia                                ,2016Q1,         5633.34
South-eastern Asia                                ,2016Q2,         5145.37
South-eastern Asia                                ,2016Q3,         5181.48
South-eastern Asia                                ,2016Q4,         5346.36
South-eastern Asia                                ,2017Q1,         5393.39
South-eastern Asia                                ,2017Q2,         5465.59
South-eastern Asia                                ,2017Q3,         5566.73
South-eastern Asia                                ,2017Q4,         5747.14
South-eastern Asia                                ,2018Q1,         5865.98
South-eastern Asia                                ,2018Q2,         5751.26
South-eastern Asia                                ,2018Q3,         5896.56
South-eastern Asia                                ,2018Q4,         6029.99
